epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,709.589,1.67613,2.84238,0.00816,0.69284,0.64189,0.70376,0.51885,1.32773,2.02158,0.00925,0.00999153,0.00333051,0.00999153,0.00333051,0.00999153,0.00333051,0.00999153,0.00333051
2,1210.87,1.43531,1.63711,0.00663,0.81508,0.75909,0.84071,0.61985,1.39738,1.57725,0.01002,0.0199903,0.00666343,0.0199903,0.00666343,0.0199903,0.00666343,0.0199903,0.00666343
3,1691.88,1.39448,1.28595,0.00662,0.86929,0.82483,0.88671,0.64563,1.42422,1.26983,0.0106,0.0299842,0.00999473,0.0299842,0.00999473,0.0299842,0.00999473,0.0299842,0.00999473
4,2172.25,1.38925,1.0969,0.00684,0.89953,0.82593,0.90678,0.70722,1.15544,0.93427,0.00812,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,2696.03,1.34642,0.96075,0.00657,0.87354,0.82237,0.90901,0.70816,1.19457,0.92155,0.00878,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,3163.91,1.31974,0.88215,0.00629,0.91948,0.86556,0.93046,0.72722,1.16515,0.82556,0.00817,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,3620.45,1.30052,0.83123,0.00616,0.91333,0.85523,0.93404,0.7292,1.0972,0.74121,0.00743,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,4072.65,1.27348,0.78714,0.00612,0.92701,0.86981,0.94634,0.72074,1.23262,0.69618,0.0084,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,4523.33,1.26473,0.73575,0.00597,0.92171,0.87624,0.94881,0.75592,1.05928,0.66148,0.00734,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,4971.14,1.24295,0.70015,0.00585,0.94864,0.87472,0.94758,0.77988,1.02488,0.57772,0.00695,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,5420.86,1.2586,0.67045,0.00566,0.94135,0.88571,0.95597,0.80154,1.01409,0.56979,0.0066,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
